StudentId,PlaysetNumber,PlaysetType,DiscountMinutes,EventId,EventType,PlayMinutes,NoOfResponses,NoOfSuccessfulResponses
AA000100,CHN000100,S,-6.359999999999999,145678,DH,6.18,7,1
AA000100,CHN000100,S,6.0,145684,DS,5.27,6,3
AA000100,CHN000200,H,0.0,145678,DH,6.18,7,1
AA000100,CHN000200,H,-10.54,145684,DS,5.27,6,3
SS000200,CHN000083,S,-4.54,145679,DH,3.77,7,1
SS000200,CHN000083,S,3.0,145685,DS,3.25,1,1
SS000200,CHN000231,H,1.0,145679,DH,3.77,7,1
SS000200,CHN000231,H,-5.5,145685,DS,3.25,1,1
AS000200,CHN000145,S,1.5,145680,DH,1.25,2,1
AS000200,CHN000145,S,4.0,145683,DS,4.68,6,2
AS000200,CHN000341,H,3.0,145680,DH,1.25,2,1
AS000200,CHN000341,H,-6.359999999999999,145683,DS,4.68,6,2
AR000345,CHN000201,S,0.0,145681,DS,4.02,5,1
AR000345,CHN000201,S,-8.04,145687,DH,4.02,9,1
AR000345,CHN000109,H,-8.04,145681,DS,4.02,5,1
AR000345,CHN000109,H,0.0,145687,DH,4.02,9,1
MS000100,CHN000134,S,0.0,145682,DS,8.02,3,2
MS000100,CHN000134,S,-8.04,145686,DH,4.02,3,1
MS000100,CHN000101,H,-15.54,145682,DS,8.02,3,2
MS000100,CHN000101,H,0.5,145686,DH,4.02,3,1
